Gene_symbol	Role_in_cancer	fusion	Supp	nSupp
NF2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
NFATC2	fusion,oncogene,TSG	EWSR1	OncoKB Annotated,COSMIC,COSMIC CGC (v99)	3
NFE2L2	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
NFIB	fusion	HGMA2,MYB	COSMIC,COSMIC CGC (v99)	2
NFKB2	fusion,oncogene,TSG	IGH	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
NFKBIE	TSG		COSMIC,COSMIC CGC (v99)	2
NIN	fusion	PDGFRB	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
NKX2-1	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
NONO	fusion	TFE3	COSMIC,COSMIC CGC (v99)	2
NOTCH1	fusion,oncogene,TSG	SEC16A,GABBR2,TRB	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
NOTCH2	oncogene,TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein,FOUNDATION ONE	8
NPM1	fusion,oncogene,TSG	MLF1,RARA,ALK	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
NR2F2			COSMIC	1
NR4A3	fusion,oncogene	TAF15,TCF12,TFG,EWSR1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
NRAS	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
NRG1	fusion,oncogene,TSG	CD74	OncoKB Annotated,COSMIC,COSMIC CGC (v99),civic	4
NSD1	fusion,oncogene,TSG	NUP98	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME	6
NSD2	fusion,oncogene	IGH	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
NSD3	fusion,oncogene	NUP98	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
NT5C2	oncogene		COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	7
NTHL1	TSG		MSK-IMPACT,OncoKB Annotated,COSMIC,MSK-HEME	4
NTRK1	fusion,oncogene,TSG	TPR,TPM3,LMNA,TP53,TFG	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
NTRK2	fusion,oncogene	MUC2,BCR,AFAP1,NACC2,SLMAP,QK1,SQSTM1,PAN3,TRIM24,VCL,AGBL4	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
NTRK3	fusion,oncogene	ETV6	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
NUMA1	fusion	RARA	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
NUP214	fusion,oncogene	SET,ABL1,DEK	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
NUP98	fusion,oncogene	HOXC11,TOP1,PRRX1,NSD1,HOXA11,HOXA9,HOXA13,HOXD11,HOXD13,RAP1GDS1,WHSC1L1,DDX10	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
NUTM1	fusion,oncogene	BRD3,BRD4	OncoKB Annotated,COSMIC,COSMIC CGC (v99),FOUNDATION ONE	4
NUTM2B	fusion	YWHAE	COSMIC,COSMIC CGC (v99)	2
NUTM2D	fusion	YWHAE	COSMIC,COSMIC CGC (v99)	2
OLIG2	fusion,oncogene	TRA	COSMIC,COSMIC CGC (v99)	2
OMD	fusion	USP6	FOUNDATION ONE HEME,COSMIC	2
P2RY8	fusion,oncogene,TSG	CRLF2	COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	6
PABPC1	oncogene,TSG		COSMIC	1
PAFAH1B2	fusion	IGH	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PALB2	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
PATZ1	fusion,TSG	EWSR1	COSMIC,COSMIC CGC (v99)	2
PAX3	fusion,oncogene	NCOA1,FOXO1,NCOA2	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
PAX5	fusion,oncogene,TSG	FOXP1,ELN,ETV6,ZNF521,IGH,PML	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PAX7	fusion,oncogene	FOXO1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
PAX8	fusion,oncogene	PPARG	OncoKB Annotated,COSMIC,COSMIC CGC (v99),civic	4
PBRM1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PBX1	fusion,oncogene	TCF3,EWSR1	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PCBP1			OncoKB Annotated,COSMIC,MSK-HEME,FOUNDATION ONE HEME	4
PCM1	fusion	JAK2,RET	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PDCD1LG2	fusion,oncogene	CIITA	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,FOUNDATION ONE	7
PDE4DIP	fusion	PDGFRB	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PDGFB	fusion,oncogene	COL1A1	OncoKB Annotated,COSMIC,FOUNDATION ONE HEME,COSMIC CGC (v99)	4
PDGFRA	fusion,oncogene	FIP1L1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PDGFRB	fusion,oncogene	SPECC1,TRIP11,ETV6,PDE4DIP,HIP1,H4,NIN,RABEP1	MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,FOUNDATION ONE	8
PER1	fusion,TSG	ETV6	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PHF6	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,Vogelstein	7
PHOX2B	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated	5
PICALM	fusion	MLLT10,KMT2A	FOUNDATION ONE HEME,COSMIC,COSMIC CGC (v99)	3
PIK3CA	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
PIK3CB	oncogene		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE	6
PIK3R1	TSG		MSK-IMPACT,COSMIC,MSK-HEME,COSMIC CGC (v99),OncoKB Annotated,FOUNDATION ONE HEME,civic,Vogelstein,FOUNDATION ONE	9
